delivery_id,order_id,dispatch_date,promised_days,promised_delivery_date,actual_delivery_date,actual_delivery_days,delivery_status,delivery_partner,delivery_cost,distance_km,attempt_count
900075,500075,2025-05-20,7,2025-05-24,2025-05-21,1,On Time,Ekart,520.07,2050,1
900076,500076,2026-06-22,4,2026-06-23,2026-06-26,4,On Time,Delhivery,238.13,2377,1
900077,500077,2024-07-11,4,2024-07-14,2024-07-12,1,On Time,BlueDart,418.74,1717,1
900078,500078,2025-03-12,6,2025-03-14,2025-03-21,9,Not Shipped,Ecom Express,591.19,1795,1
900079,500079,2025-12-17,5,2025-12-19,2025-12-22,5,On Time,DTDC,242.6,934,1
900080,500080,2025-12-24,3,2025-12-24,2025-12-30,6,Not Shipped,Delhivery,65.08,1143,1
900081,500081,2025-12-06,6,2025-12-12,2025-12-16,10,On Time,BlueDart,227.41,1326,1
900082,500082,2025-03-04,6,2025-03-07,2025-03-14,10,On Time,DTDC,417.81,840,1
900083,500083,2024-03-07,6,2024-03-13,2024-03-08,1,On Time,Delhivery,183.79,407,1
900084,500084,2026-03-01,5,2026-03-05,2026-03-09,8,In Transit,Delhivery,351.54,631,1
900085,500085,2024-12-15,6,2024-12-19,2024-12-16,1,On Time,Ecom Express,359.95,1927,1
900086,500086,2025-08-19,7,2025-08-22,2025-08-26,7,Cancelled,Delhivery,306.67,169,1
900087,500087,2024-05-01,3,2024-05-04,2024-05-11,10,On Time,XpressBees,596.77,334,1
900088,500088,2026-05-08,4,2026-05-08,2026-05-13,5,On Time,BlueDart,499.22,397,1
900089,500089,2024-08-24,7,2024-08-29,2024-08-31,7,Delayed,Ekart,478.48,1348,1
900090,500090,2026-06-30,6,2026-07-04,2026-07-01,1,In Transit,Ekart,527.22,1733,1
900091,500091,2025-10-18,4,2025-10-18,2025-10-19,1,On Time,Delhivery,365.71,2320,2
900092,500092,2024-10-30,3,2024-10-31,2024-10-31,1,Delayed,BlueDart,327.11,543,1
900093,500093,2024-12-03,6,2024-12-09,2024-12-10,7,Returned,DTDC,206.68,1653,1
900094,500094,2026-06-12,5,2026-06-17,2026-06-20,8,Not Shipped,DTDC,365.17,1312,1
900095,500095,2025-06-26,6,2025-07-01,2025-07-02,6,On Time,DTDC,130.42,1549,2
900096,500096,2025-09-27,4,2025-09-27,2025-10-05,8,Delayed,XpressBees,523.21,1674,1
900097,500097,2025-07-13,5,2025-07-17,2025-07-15,2,Not Shipped,BlueDart,649.16,1591,1
900098,500098,2024-08-05,6,2024-08-11,2024-08-08,3,Delayed,XpressBees,506.6,1079,1
900099,500099,2024-04-30,3,2024-05-03,2024-05-02,2,Cancelled,Ekart,319.8,2263,3
900100,500100,2024-01-05,6,2024-01-09,2024-01-11,6,On Time,DTDC,429.95,2003,2
900101,500101,2025-01-05,4,2025-01-08,2025-01-09,4,In Transit,XpressBees,247.73,1983,2
900102,500102,2025-09-16,7,2025-09-22,2025-09-20,4,Delayed,BlueDart,696.64,65,1
900103,500103,2024-10-04,5,2024-10-07,2024-10-11,7,On Time,Ecom Express,521.36,1312,1
900104,500104,2024-07-22,5,2024-07-26,2024-07-30,8,On Time,XpressBees,534.37,830,1
900105,500105,2024-12-20,5,2024-12-25,2024-12-26,6,On Time,Ecom Express,107.13,2238,1
900106,500106,2024-08-01,7,2024-08-06,2024-08-10,9,On Time,XpressBees,565.89,1404,1
900107,500107,2025-02-03,7,2025-02-07,2025-02-12,9,Delayed,Ekart,574.68,2157,1
900108,500108,2025-05-20,6,2025-05-24,2025-05-25,5,On Time,BlueDart,566.17,1730,2
900109,500109,2024-09-09,4,2024-09-09,2024-09-12,3,In Transit,Delhivery,95.47,1588,1
900110,500110,2024-01-29,7,2024-02-05,2024-02-05,7,On Time,Ecom Express,418.3,1167,2
900111,500111,2024-04-02,5,2024-04-07,2024-04-08,6,Returned,Ekart,677.63,2448,1
900112,500112,2025-01-14,5,2025-01-19,2025-01-18,4,In Transit,DTDC,615.02,643,1
900113,500113,2024-06-10,8,2024-06-18,2024-06-20,10,Early,XpressBees,503.31,1740,2
900114,500114,2026-01-02,5,2026-01-04,2026-01-08,6,On Time,XpressBees,371.17,2219,1
900115,500115,2024-06-02,4,2024-06-03,2024-06-04,2,On Time,Delhivery,499.48,2136,2
900116,500116,2024-01-28,4,2024-01-29,2024-02-05,8,On Time,Ecom Express,111.26,2295,1
900117,500117,2025-07-19,6,2025-07-24,2025-07-24,5,On Time,Delhivery,598.9,2409,1
900118,500118,2025-07-26,8,2025-07-31,2025-07-28,2,In Transit,XpressBees,385.46,564,1
900119,500119,2025-09-04,5,2025-09-09,2025-09-11,7,In Transit,DTDC,422.91,1275,2
900120,500120,2024-05-28,5,2024-05-29,2024-05-29,1,Returned,Ecom Express,282.3,751,2
900121,500121,2025-09-13,7,2025-09-19,2025-09-20,7,Delayed,XpressBees,283.36,2051,1
900122,500122,2026-02-25,5,2026-03-02,2026-03-04,7,On Time,Ekart,205.5,1705,1
900123,500123,2025-07-05,7,2025-07-12,2025-07-12,7,Delayed,XpressBees,430.38,1986,1
900124,500124,2024-12-24,8,2024-12-30,2025-01-01,8,On Time,Delhivery,476.28,464,1
900125,500125,2025-03-18,5,2025-03-20,2025-03-19,1,On Time,XpressBees,406.75,941,1
900126,500126,2026-01-12,8,2026-01-18,2026-01-19,7,In Transit,Delhivery,395.89,1316,1
900127,500127,2024-05-11,7,2024-05-17,2024-05-18,7,Cancelled,BlueDart,488.2,591,1
900128,500128,2025-10-22,8,2025-10-30,2025-10-24,2,On Time,Ekart,639.17,875,1
900129,500129,2024-09-02,5,2024-09-07,2024-09-12,10,On Time,DTDC,333.84,1250,2
900130,500130,2026-03-15,3,2026-03-14,2026-03-21,6,Delayed,Ecom Express,91.95,2328,1
900131,500131,2024-05-10,6,2024-05-13,2024-05-18,8,Early,XpressBees,404.91,461,1
900132,500132,2025-04-16,7,2025-04-23,2025-04-21,5,Delayed,BlueDart,100.55,1781,1
900133,500133,2024-12-31,5,2025-01-05,2025-01-07,7,On Time,BlueDart,523.12,2117,1
900134,500134,2025-03-21,7,2025-03-26,2025-03-31,10,On Time,DTDC,383.41,323,1
900135,500135,2024-12-15,3,2024-12-17,2024-12-16,1,On Time,Delhivery,447.85,1762,1
900136,500136,2024-02-04,3,2024-02-07,2024-02-11,7,Delayed,XpressBees,506.99,2352,1
900137,500137,2026-02-23,3,2026-02-24,2026-03-03,8,On Time,Ecom Express,384.76,385,1
900138,500138,2025-05-03,7,2025-05-08,2025-05-09,6,In Transit,Ecom Express,466.13,1231,1
900139,500139,2025-07-03,3,2025-07-04,2025-07-12,9,On Time,BlueDart,350.52,1757,1
900140,500140,2025-04-24,6,2025-04-27,2025-04-28,4,On Time,Ekart,67.05,1948,1
900141,500141,2025-04-28,5,2025-05-02,2025-05-07,9,On Time,BlueDart,584.51,1993,1
900142,500142,2025-07-10,7,2025-07-14,2025-07-14,4,On Time,Ecom Express,350.23,554,1
900143,500143,2025-01-20,5,2025-01-22,2025-01-26,6,On Time,BlueDart,644.9,2314,1
900144,500144,2024-05-02,5,2024-05-04,2024-05-04,2,On Time,Ecom Express,84.6,2108,1
900145,500145,2024-01-31,8,2024-02-04,2024-02-01,1,Not Shipped,Delhivery,430.29,92,1
900146,500146,2025-05-08,7,2025-05-14,2025-05-16,8,On Time,Ekart,148.55,305,2
900147,500147,2024-06-21,4,2024-06-22,2024-06-25,4,On Time,XpressBees,434.28,2102,1
900148,500148,2025-02-18,6,2025-02-24,2025-02-24,6,Delayed,Delhivery,121.62,1907,1
900149,500149,2025-07-06,3,2025-07-08,2025-07-10,4,On Time,Delhivery,404.73,1781,1
900150,500150,2025-06-30,5,2025-07-02,2025-07-01,1,On Time,Ecom Express,615.46,2321,1
900151,500151,2024-06-06,4,2024-06-06,2024-06-13,7,Delayed,XpressBees,62.74,1744,1
900152,500152,2025-08-25,3,2025-08-28,2025-08-30,5,On Time,BlueDart,189.84,693,1
900153,500153,2026-05-11,6,2026-05-14,2026-05-20,9,On Time,Delhivery,488.96,2277,1
900154,500154,2024-11-26,6,2024-12-01,2024-12-04,8,Delayed,DTDC,597.73,2129,1
900155,500155,2024-04-20,3,2024-04-21,2024-04-30,10,On Time,Delhivery,400.78,357,3
900156,500156,2025-04-08,7,2025-04-11,2025-04-10,2,On Time,Ekart,418.53,1805,1
900157,500157,2025-07-20,8,2025-07-24,2025-07-24,4,On Time,XpressBees,67.34,1038,1
900158,500158,2024-12-28,8,2025-01-03,2025-01-05,8,Not Shipped,Ecom Express,139.29,1356,1
900159,500159,2025-07-04,3,2025-07-03,2025-07-07,3,On Time,Ekart,314.59,2115,1
900160,500160,2025-12-01,6,2025-12-05,2025-12-06,5,On Time,Ekart,340.6,2366,1
900161,500161,2025-06-12,7,2025-06-18,2025-06-13,1,On Time,Ecom Express,303.02,2123,1
900162,500162,2025-12-31,7,2026-01-03,2026-01-01,1,In Transit,DTDC,174.46,1417,1
900163,500163,2024-05-14,3,2024-05-16,2024-05-17,3,Not Shipped,DTDC,620.84,2074,1
900164,500164,2024-09-28,5,2024-09-29,2024-10-08,10,In Transit,XpressBees,152.32,1624,2
900165,500165,2025-05-25,6,2025-05-27,2025-05-26,1,On Time,Ecom Express,635.44,2266,1
900166,500166,2024-08-24,6,2024-08-30,2024-08-26,2,In Transit,DTDC,638.18,917,2
900167,500167,2026-06-28,4,2026-06-29,2026-07-03,5,On Time,Ecom Express,595.32,1778,1
900168,500168,2025-09-14,6,2025-09-16,2025-09-15,1,Not Shipped,Ekart,282.68,302,1
900169,500169,2025-01-11,3,2025-01-13,2025-01-13,2,On Time,Ekart,74.67,1361,1
900170,500170,2025-12-08,6,2025-12-12,2025-12-14,6,In Transit,Ecom Express,225.7,360,1
900171,500171,2026-06-19,8,2026-06-23,2026-06-28,9,Returned,DTDC,393.04,64,1
900172,500172,2024-01-13,8,2024-01-18,2024-01-15,2,On Time,DTDC,590.96,2372,1
900173,500173,2025-05-23,7,2025-05-29,2025-05-26,3,On Time,Ekart,608.14,891,1
900174,500174,2025-01-25,6,2025-01-30,2025-01-26,1,In Transit,Delhivery,409.97,1592,1
900175,500175,2025-11-19,7,2025-11-26,2025-11-21,2,Delayed,Ecom Express,576.38,690,1
900176,500176,2024-10-11,5,2024-10-12,2024-10-18,7,In Transit,Delhivery,527.19,1042,1
900177,500177,2024-10-27,7,2024-10-30,2024-10-28,1,On Time,XpressBees,114.11,1952,1
900178,500178,2025-12-03,4,2025-12-04,2025-12-05,2,In Transit,Ekart,131.42,610,1
900179,500179,2026-03-25,4,2026-03-27,2026-03-27,2,In Transit,DTDC,693.96,2228,1
900180,500180,2024-05-12,7,2024-05-17,2024-05-22,10,On Time,XpressBees,633.04,2434,1
900181,500181,2025-07-15,4,2025-07-18,2025-07-25,10,On Time,Ekart,64.17,1049,1
900182,500182,2025-12-11,7,2025-12-17,2025-12-20,9,Not Shipped,Delhivery,384.69,1039,1
900183,500183,2024-05-30,5,2024-06-04,2024-06-01,2,Cancelled,DTDC,509.59,1714,1
900184,500184,2025-08-27,6,2025-09-01,2025-09-05,9,In Transit,XpressBees,576.94,1378,1
900185,500185,2026-06-15,3,2026-06-15,2026-06-24,9,Delayed,DTDC,353.46,2154,2
900186,500186,2026-02-08,6,2026-02-13,2026-02-15,7,On Time,Ekart,355.33,994,2
900187,500187,2024-06-26,8,2024-07-04,2024-07-03,7,On Time,XpressBees,505.45,453,1
900188,500188,2026-06-24,5,2026-06-27,2026-06-30,6,Cancelled,Delhivery,643.32,647,1
900189,500189,2024-11-25,6,2024-11-27,2024-11-29,4,On Time,BlueDart,452.46,1433,1
900190,500190,2025-03-11,7,2025-03-17,2025-03-18,7,In Transit,DTDC,491.29,1117,1
900191,500191,2024-09-25,6,2024-09-28,2024-09-28,3,On Time,Ekart,366.55,403,2
900192,500192,2025-10-02,6,2025-10-05,2025-10-08,6,On Time,BlueDart,445.31,2457,1
900193,500193,2024-04-25,6,2024-04-30,2024-05-02,7,On Time,Ekart,132.03,1998,1
900194,500194,2025-10-12,3,2025-10-12,2025-10-21,9,On Time,Ekart,174.23,2371,1
900195,500195,2024-02-22,3,2024-02-23,2024-03-03,10,In Transit,BlueDart,265.97,367,1
900196,500196,2026-02-09,6,2026-02-15,2026-02-11,2,On Time,BlueDart,656.37,971,1
900197,500197,2024-10-26,7,2024-10-31,2024-10-27,1,On Time,BlueDart,309.64,1297,1
900198,500198,2025-04-18,4,2025-04-21,2025-04-20,2,On Time,DTDC,279.83,356,1
900199,500199,2024-07-28,8,2024-08-03,2024-08-01,4,Returned,Ekart,528.17,204,1
900200,500200,2024-04-08,3,2024-04-11,2024-04-15,7,On Time,Ecom Express,363.63,1957,1
900201,500201,2024-01-22,6,2024-01-28,2024-01-30,8,On Time,Ekart,419.12,112,1
900202,500202,2026-06-13,7,2026-06-19,2026-06-15,2,Delayed,Ekart,679.69,1279,1
900203,500203,2024-05-06,8,2024-05-12,2024-05-16,10,On Time,DTDC,362.85,1378,1
900204,500204,2024-02-23,4,2024-02-25,2024-03-04,10,On Time,DTDC,695.32,540,1
900205,500205,2025-04-13,7,2025-04-20,2025-04-20,7,On Time,XpressBees,524.24,1614,1
900206,500206,2026-05-27,6,2026-06-02,2026-05-29,2,On Time,BlueDart,484.89,1714,1
900207,500207,2024-03-16,5,2024-03-21,2024-03-24,8,Early,BlueDart,182.52,328,1
900208,500208,2024-08-20,4,2024-08-24,2024-08-27,7,On Time,BlueDart,152.36,2003,1
900209,500209,2025-05-25,3,2025-05-24,2025-05-29,4,On Time,Ekart,156.47,1023,1
900210,500210,2025-03-26,6,2025-03-31,2025-04-03,8,Not Shipped,XpressBees,122.57,2304,2
900211,500211,2024-05-15,6,2024-05-18,2024-05-16,1,On Time,BlueDart,484.0,402,1
900212,500212,2026-05-19,8,2026-05-25,2026-05-22,3,On Time,Delhivery,198.85,261,1
900213,500213,2024-11-26,6,2024-11-28,2024-11-27,1,Delayed,Ekart,592.06,1368,1
900214,500214,2025-09-13,3,2025-09-12,2025-09-20,7,On Time,XpressBees,241.33,878,1
900215,500215,2025-02-24,8,2025-03-01,2025-03-04,8,On Time,Delhivery,380.79,1348,2
900216,500216,2025-06-22,3,2025-06-21,2025-07-02,10,On Time,DTDC,109.92,2118,1
900217,500217,2026-04-06,8,2026-04-12,2026-04-11,5,Not Shipped,Ecom Express,552.4,494,1
900218,500218,2024-10-25,3,2024-10-27,2024-11-04,10,On Time,BlueDart,295.45,1512,1
900219,500219,2026-01-12,7,2026-01-19,2026-01-15,3,On Time,DTDC,219.58,301,1
900220,500220,2024-09-25,6,2024-09-29,2024-09-27,2,Delayed,BlueDart,513.21,604,1
900221,500221,2024-10-19,3,2024-10-19,2024-10-29,10,Delayed,Ekart,445.7,375,1
900222,500222,2024-02-01,5,2024-02-04,2024-02-03,2,On Time,XpressBees,152.13,2040,1
900223,500223,2024-11-13,5,2024-11-17,2024-11-22,9,On Time,Ecom Express,387.23,1111,1
900224,500224,2025-06-19,7,2025-06-25,2025-06-23,4,On Time,Ecom Express,531.33,2430,1
900225,500225,2025-08-07,8,2025-08-14,2025-08-10,3,On Time,Delhivery,444.54,464,1
900226,500226,2025-01-31,5,2025-02-01,2025-02-01,1,On Time,Ecom Express,336.28,863,1
900227,500227,2024-11-21,5,2024-11-26,2024-11-24,3,Delayed,Ecom Express,105.53,1098,1
900228,500228,2024-07-24,5,2024-07-28,2024-07-26,2,Early,DTDC,412.91,470,2
900229,500229,2026-04-05,3,2026-04-07,2026-04-11,6,On Time,BlueDart,294.34,753,1
900230,500230,2024-12-18,5,2024-12-21,2024-12-22,4,On Time,Ecom Express,456.08,1827,2
900231,500231,2024-10-07,4,2024-10-10,2024-10-10,3,Not Shipped,DTDC,426.76,1017,1
900232,500232,2026-05-12,4,2026-05-12,2026-05-13,1,On Time,Ekart,91.87,2250,2
900233,500233,2025-08-05,3,2025-08-06,2025-08-14,9,On Time,DTDC,424.17,2243,1
900234,500234,2026-02-13,8,2026-02-20,2026-02-14,1,On Time,BlueDart,95.43,828,1
900235,500235,2024-12-21,7,2024-12-27,2024-12-23,2,Not Shipped,Delhivery,253.46,382,1
900236,500236,2025-01-29,8,2025-02-04,2025-02-08,10,In Transit,Delhivery,580.69,2194,1
900237,500237,2025-10-28,8,2025-11-04,2025-11-06,9,Cancelled,XpressBees,400.28,1908,1
900238,500238,2026-06-16,6,2026-06-18,2026-06-24,8,On Time,Ecom Express,687.72,99,2
900239,500239,2025-12-20,3,2025-12-23,2025-12-22,2,Returned,XpressBees,248.46,2313,2
900240,500240,2025-02-26,3,2025-02-28,2025-03-02,4,On Time,BlueDart,342.1,936,1
900241,500241,2025-07-01,8,2025-07-07,2025-07-04,3,Delayed,Delhivery,680.82,2337,1
900242,500242,2024-11-18,5,2024-11-19,2024-11-20,2,Returned,Ekart,627.29,330,1
900243,500243,2025-02-21,6,2025-02-26,2025-02-24,3,Early,Delhivery,631.33,1150,1
900244,500244,2024-12-20,7,2024-12-26,2024-12-25,5,On Time,DTDC,570.74,1180,2
900245,500245,2024-04-01,6,2024-04-06,2024-04-04,3,On Time,Ecom Express,600.08,346,1
900246,500246,2026-03-11,5,2026-03-13,2026-03-17,6,Cancelled,DTDC,243.69,624,1
900247,500247,2024-05-08,8,2024-05-12,2024-05-14,6,On Time,DTDC,362.18,571,1
900248,500248,2024-09-01,5,2024-09-06,2024-09-04,3,Delayed,Delhivery,338.67,287,1
900249,500249,2024-08-21,5,2024-08-23,2024-08-29,8,Cancelled,XpressBees,478.5,1939,1
900250,500250,2024-07-23,8,2024-07-29,2024-07-29,6,On Time,Ekart,324.69,818,1
900251,500251,2025-03-30,4,2025-04-02,2025-04-09,10,On Time,Delhivery,575.81,2011,1
900252,500252,2026-05-26,5,2026-05-31,2026-05-31,5,On Time,BlueDart,126.5,1549,1
900253,500253,2024-10-29,3,2024-10-29,2024-11-06,8,On Time,XpressBees,153.64,1456,1
900254,500254,2025-11-03,6,2025-11-06,2025-11-10,7,Delayed,BlueDart,483.05,1383,1
900255,500255,2025-10-30,3,2025-11-02,2025-10-31,1,On Time,XpressBees,387.45,397,1
900256,500256,2025-11-30,5,2025-12-02,2025-12-05,5,Early,BlueDart,291.8,922,2
900257,500257,2025-07-23,8,2025-07-29,2025-07-28,5,In Transit,BlueDart,624.09,1411,1
900258,500258,2025-11-08,8,2025-11-14,2025-11-14,6,On Time,DTDC,364.36,2190,1
900259,500259,2025-11-27,5,2025-11-30,2025-12-06,9,On Time,Ecom Express,695.16,147,2
900260,500260,2025-09-18,6,2025-09-20,2025-09-20,2,On Time,Ekart,477.75,2462,1
900261,500261,2025-05-26,4,2025-05-28,2025-06-03,8,On Time,DTDC,548.41,333,2
900262,500262,2024-03-28,3,2024-03-27,2024-03-31,3,On Time,DTDC,382.83,25,2
900263,500263,2025-04-08,6,2025-04-14,2025-04-13,5,Not Shipped,Delhivery,224.03,1021,2
900264,500264,2025-11-21,6,2025-11-24,2025-11-26,5,On Time,Ecom Express,502.88,342,1
900265,500265,2024-11-10,8,2024-11-15,2024-11-19,9,On Time,Ekart,267.16,1747,1
900266,500266,2024-08-18,4,2024-08-19,2024-08-24,6,Returned,Delhivery,162.97,1579,1
900267,500267,2025-06-26,7,2025-07-02,2025-07-02,6,Cancelled,Ecom Express,317.93,1036,1
900268,500268,2024-04-30,4,2024-05-04,2024-05-08,8,Returned,Delhivery,399.17,652,1
900269,500269,2025-10-17,8,2025-10-25,2025-10-20,3,On Time,Ecom Express,312.57,375,2
900270,500270,2026-06-16,7,2026-06-22,2026-06-18,2,On Time,XpressBees,371.68,1544,1
900271,500271,2025-03-17,4,2025-03-21,2025-03-20,3,On Time,BlueDart,469.88,1385,1
900272,500272,2024-01-27,5,2024-01-31,2024-02-03,7,On Time,Ecom Express,235.58,1195,1
900273,500273,2024-09-04,6,2024-09-10,2024-09-10,6,Early,DTDC,552.78,1085,2
900274,500274,2024-01-30,3,2024-02-01,2024-02-04,5,Delayed,DTDC,220.08,269,1
900275,500275,2025-02-26,3,2025-02-25,2025-03-03,5,Delayed,Delhivery,245.89,1567,1
900276,500276,2024-10-09,4,2024-10-13,2024-10-10,1,Delayed,BlueDart,58.93,507,3
900277,500277,2025-12-07,7,2025-12-13,2025-12-09,2,On Time,Ekart,251.04,1537,1
