order_id,order_date,customer_id,product_id,seller_id,quantity,discount_pct,shipping_fee,shipping_date,delivery_date,delivery_days,order_status,sales_channel,delivery_partner,unit_price,gross_sales,discount_amount,net_sales,estimated_cost,profit
500023,2024-04-30,12746,20644,30206,3,0.141,588.79,2024-04-30,2024-05-09,9,Delivered,Social Commerce,Ecom Express,15954.27,47862.81,6748.66,41114.15,33021.51,7503.85
500024,2025-03-16,11438,20520,30064,2,0.178,535.77,2025-03-19,2025-03-26,7,Delivered,Social Commerce,Delhivery,30322.8,60645.6,10794.92,49850.68,44315.9,4999.01
500025,2025-06-20,11495,20242,30062,1,0.253,45.03,2025-06-24,2025-06-30,6,Delivered,Mobile App,XpressBees,21432.2,21432.2,5422.35,16009.85,14690.19,1274.63
500026,2024-04-18,13621,20722,30214,3,0.284,59.26,2024-04-20,2024-04-30,10,Delivered,Mobile App,Delhivery,12164.91,36494.73,10364.5,26130.23,31014.03,-4943.06
500027,2025-11-16,10221,20040,30225,1,0.069,116.66,2025-11-20,2025-11-27,7,Shipped,Mobile App,Ecom Express,15817.26,15817.26,1091.39,14725.87,10929.3,3679.91
500028,2025-05-16,10876,20799,30004,4,0.298,515.69,2025-05-18,2025-05-19,1,Delivered,Social Commerce,BlueDart,6884.03,27536.12,8205.76,19330.36,14849.56,3965.11
500029,2025-06-27,11026,20422,30052,2,0.018,434.02,2025-06-29,2025-07-07,8,Delivered,Website,XpressBees,29185.57,58371.14,1050.68,57320.46,29439.46,27446.98
500030,2026-04-16,14565,20528,30102,4,0.004,230.44,2026-04-20,2026-04-30,10,Returned,Social Commerce,Ekart,25098.9,100395.6,401.58,99994.02,84306.16,15457.42
500031,2025-06-17,10712,20933,30268,2,0.045,441.73,2025-06-20,2025-06-26,6,Delivered,Website,DTDC,27035.99,54071.98,2433.24,51638.74,38041.04,13155.97
500032,2024-01-04,11247,20571,30250,2,0.158,510.3,2024-01-04,2024-01-09,5,Delivered,Mobile App,Ekart,19367.7,38735.4,6120.19,32615.21,28524.62,3580.29
500033,2025-12-02,13510,20279,30143,4,0.234,61.24,2025-12-06,2025-12-08,2,Delivered,Website,DTDC,17097.32,68389.28,16003.09,52386.19,53343.0,-1018.05
500034,2026-03-09,11228,20475,30141,3,0.072,385.98,2026-03-11,2026-03-16,5,Delivered,Website,BlueDart,31243.75,93731.25,6748.65,86982.6,45145.62,41451.0
500035,2024-03-17,11566,20836,30206,4,0.123,429.94,2024-03-18,2024-03-19,1,Processing,Mobile App,Ekart,15547.21,62188.84,7649.23,54539.61,49130.96,4978.71
500036,2025-05-06,11439,20396,30102,2,0.132,504.3,2025-05-10,2025-05-11,1,Delivered,Website,Delhivery,10161.08,20322.16,2682.53,17639.63,9484.56,7650.77
500037,2025-03-04,14184,20254,30173,1,0.04,484.5,2025-03-07,2025-03-09,2,Delivered,Website,DTDC,12005.27,12005.27,480.21,11525.06,10154.58,885.98
500038,2024-05-17,14240,20608,30284,4,0.018,530.81,2024-05-18,2024-05-21,3,Processing,Mobile App,XpressBees,29928.94,119715.76,2154.88,117560.88,93415.04,23615.03
500039,2024-09-08,11434,20123,30266,5,0.28,186.72,2024-09-12,2024-09-19,7,Delivered,Marketplace,Ecom Express,28156.05,140780.25,39418.47,101361.78,66620.15,34554.91
500040,2026-02-19,10500,20227,30155,3,0.029,434.25,2026-02-23,2026-02-27,4,Delivered,Marketplace,Ekart,18840.71,56522.13,1639.14,54882.99,38655.45,15793.29
500041,2024-12-23,13232,20376,30239,2,0.264,95.29,2024-12-23,2024-12-31,8,Cancelled,Mobile App,Delhivery,26432.31,52864.62,13956.26,38908.36,32139.84,6673.23
500042,2025-05-04,12133,20730,30201,2,0.12,360.31,2025-05-06,2025-05-16,10,Delivered,Marketplace,XpressBees,13937.03,27874.06,3344.89,24529.17,20500.96,3667.9
500043,2025-12-09,11889,20878,30057,1,0.021,299.87,2025-12-12,2025-12-21,9,Processing,Mobile App,BlueDart,4402.5,4402.5,92.45,4310.05,3903.21,106.97
500044,2025-02-12,13941,20570,30247,1,0.085,60.3,2025-02-14,2025-02-22,8,Processing,Website,Ecom Express,27714.91,27714.91,2355.77,25359.14,21869.34,3429.5
500045,2026-03-23,12894,20269,30027,5,0.146,263.47,2026-03-25,2026-03-31,6,Shipped,Website,Ekart,29830.28,149151.4,21776.1,127375.3,117569.25,9542.58
500046,2025-03-31,10181,20447,30065,2,0.277,34.37,2025-04-04,2025-04-14,10,Processing,Mobile App,XpressBees,6517.77,13035.54,3610.84,9424.7,8054.1,1336.23
500047,2026-06-18,13181,20066,30278,1,0.065,263.82,2026-06-20,2026-06-23,3,Delivered,Marketplace,Ecom Express,30915.01,30915.01,2009.48,28905.53,18159.6,10482.11
500048,2024-05-14,12619,20159,30277,5,0.238,31.3,2024-05-14,2024-05-22,8,Delivered,Marketplace,BlueDart,32866.0,164330.0,39110.54,125219.46,124723.4,464.76
500049,2026-03-20,10571,20766,30064,3,0.172,396.18,2026-03-24,2026-04-02,9,Delivered,Social Commerce,Ecom Express,15715.15,47145.45,8109.02,39036.43,30532.89,8107.36
500050,2024-04-12,10100,20905,30162,2,0.114,107.6,2024-04-13,2024-04-22,9,Returned,Website,XpressBees,7738.63,15477.26,1764.41,13712.85,10907.9,2697.35
500051,2026-01-11,10522,20499,30061,3,0.199,478.31,2026-01-11,2026-01-14,3,Delivered,Website,XpressBees,25345.06,76035.18,15131.0,60904.18,54896.97,5528.9
500052,2025-08-26,12609,20728,30152,4,0.247,219.24,2025-08-27,2025-08-28,1,Delivered,Mobile App,BlueDart,46671.76,186687.04,46111.7,140575.34,95462.8,44893.3
500053,2025-05-25,15000,20325,30142,5,0.242,434.68,2025-05-29,2025-06-07,9,Delivered,Website,Delhivery,13133.69,65668.45,15891.76,49776.69,53280.85,-3938.84
500054,2026-03-13,13876,20745,30060,4,0.127,503.22,2026-03-17,2026-03-26,9,Shipped,Website,Delhivery,25711.68,102846.72,13061.53,89785.19,48410.72,40871.25
500055,2025-08-07,14070,20297,30002,1,0.274,588.49,2025-08-07,2025-08-14,7,Delivered,Website,DTDC,18956.56,18956.56,5194.1,13762.46,10104.19,3069.78
500056,2025-09-25,13418,20669,30067,2,0.208,365.42,2025-09-25,2025-10-04,9,Delivered,Mobile App,Ekart,10793.71,21587.42,4490.18,17097.24,10394.4,6337.42
500057,2025-11-18,14659,20374,30224,5,0.244,239.05,2025-11-22,2025-11-28,6,Shipped,Mobile App,Ekart,7088.2,35441.0,8647.6,26793.4,22669.05,3885.3
500058,2026-02-05,10229,20892,30211,4,0.13,540.25,2026-02-05,2026-02-11,6,Delivered,Social Commerce,Ecom Express,30773.51,123094.04,16002.23,107091.81,81134.24,25417.32
500059,2024-07-30,10052,20124,30199,1,0.128,283.1,2024-08-01,2024-08-04,3,Delivered,Marketplace,Delhivery,13666.46,13666.46,1749.31,11917.15,11956.04,-321.99
500060,2026-02-09,10931,20697,30286,3,0.016,241.2,2026-02-10,2026-02-18,8,Returned,Mobile App,Delhivery,9436.95,28310.85,452.97,27857.88,18747.36,8869.32
500061,2025-06-21,13995,20300,30254,4,0.151,536.4,2025-06-21,2025-06-30,9,Delivered,Marketplace,DTDC,14856.86,59427.44,8973.54,50453.9,30694.44,19223.06
500062,2024-01-30,10558,20717,30149,2,0.017,461.71,2024-02-02,2024-02-10,8,Delivered,Website,Delhivery,9702.11,19404.22,329.87,19074.35,11248.84,7363.8
500063,2026-04-17,10276,20214,30201,4,0.095,103.68,2026-04-17,2026-04-18,1,Delivered,Website,Delhivery,1409.18,5636.72,535.49,5101.23,3528.92,1468.63
500064,2025-12-04,12086,20659,30104,2,0.074,377.93,2025-12-05,2025-12-06,1,Returned,Marketplace,Ekart,33836.83,67673.66,5007.85,62665.81,31534.06,30753.82
500065,2026-03-24,11888,20923,30081,3,0.038,303.56,2026-03-27,2026-04-05,9,Delivered,Website,DTDC,26169.95,78509.85,2983.37,75526.48,60880.68,14342.24
500066,2025-12-05,12677,20930,30193,3,0.053,136.13,2025-12-06,2025-12-09,3,Delivered,Mobile App,Delhivery,35990.35,107971.05,5722.47,102248.58,51288.12,50824.33
500067,2024-11-11,12347,20424,30085,3,0.184,352.61,2024-11-15,2024-11-22,7,Processing,Website,Delhivery,26523.72,79571.16,14641.09,64930.07,58185.18,6392.28
500068,2024-11-15,11528,20711,30253,4,0.035,193.08,2024-11-17,2024-11-27,10,Delivered,Website,Delhivery,22591.87,90367.48,3162.86,87204.62,78894.28,8117.26
500069,2024-09-09,12974,20824,30211,3,0.176,283.9,2024-09-09,2024-09-15,6,Returned,Marketplace,Ecom Express,21815.23,65445.69,11518.44,53927.25,30775.74,22867.61
500070,2025-01-08,13333,20677,30129,2,0.263,236.17,2025-01-11,2025-01-15,4,Returned,Mobile App,XpressBees,40983.21,81966.42,21557.17,60409.25,40300.24,19872.84
500071,2024-02-01,11088,20933,30040,3,0.008,187.21,2024-02-04,2024-02-14,10,Delivered,Mobile App,XpressBees,27035.99,81107.97,648.86,80459.11,57061.56,23210.34
500072,2025-11-10,10159,20390,30052,2,0.144,107.61,2025-11-12,2025-11-14,2,Returned,Mobile App,Delhivery,8797.25,17594.5,2533.61,15060.89,8719.9,6233.38
500073,2025-11-17,10023,20346,30285,3,0.014,282.0,2025-11-21,2025-11-26,5,Delivered,Website,DTDC,22961.28,68883.84,964.37,67919.47,37137.78,30499.69
500074,2026-06-18,10561,20225,30216,4,0.174,519.59,2026-06-21,2026-06-28,7,Delivered,Website,Ecom Express,34013.37,136053.48,23673.31,112380.17,81847.32,30013.26
500075,2025-05-17,12227,20995,30104,3,0.196,113.07,2025-05-20,2025-05-21,1,Delivered,Social Commerce,Ekart,47744.61,143233.83,28073.83,115160.0,72731.07,42315.86
500076,2026-06-19,10433,20409,30259,1,0.139,43.67,2026-06-22,2026-06-26,4,Delivered,Website,Delhivery,20381.42,20381.42,2833.02,17548.4,10258.6,7246.13
500077,2024-07-10,10317,20116,30292,4,0.036,20.14,2024-07-11,2024-07-12,1,Delivered,Mobile App,BlueDart,10516.97,42067.88,1514.44,40553.44,22004.32,18528.98
500078,2025-03-08,12970,20131,30132,1,0.246,64.53,2025-03-12,2025-03-21,9,Processing,Mobile App,Ecom Express,23200.82,23200.82,5707.4,17493.42,20559.54,-3130.65
500079,2025-12-14,14133,20919,30065,4,0.121,389.12,2025-12-17,2025-12-22,5,Delivered,Marketplace,DTDC,12525.1,50100.4,6062.15,44038.25,26962.24,16686.89
500080,2025-12-21,10188,20247,30063,2,0.134,502.26,2025-12-24,2025-12-30,6,Processing,Website,Delhivery,37452.21,74904.42,10037.19,64867.23,48891.0,15473.97
500081,2025-12-06,10139,20387,30034,3,0.297,148.7,2025-12-06,2025-12-16,10,Delivered,Mobile App,BlueDart,38469.2,115407.6,34276.06,81131.54,60693.15,20289.69
500082,2025-03-01,11250,20893,30230,4,0.219,416.51,2025-03-04,2025-03-14,10,Delivered,Website,DTDC,23556.8,94227.2,20635.76,73591.44,49285.8,23889.13
500083,2024-03-07,13875,20476,30063,5,0.15,233.12,2024-03-07,2024-03-08,1,Delivered,Mobile App,Delhivery,4662.4,23312.0,3496.8,19815.2,18368.15,1213.93
500084,2026-02-28,14931,20703,30246,1,0.229,273.14,2026-03-01,2026-03-09,8,Shipped,Website,Delhivery,25976.39,25976.39,5948.59,20027.8,13350.47,6404.19
500085,2024-12-13,12278,20034,30063,5,0.186,535.45,2024-12-15,2024-12-16,1,Delivered,Mobile App,Ecom Express,30337.76,151688.8,28214.12,123474.68,97557.6,25381.63
500086,2025-08-15,11511,20534,30275,2,0.247,452.06,2025-08-19,2025-08-26,7,Cancelled,Mobile App,Delhivery,10064.19,20128.38,4971.71,15156.67,16192.14,-1487.53
500087,2024-05-01,10213,20532,30271,4,0.088,275.92,2024-05-01,2024-05-11,10,Delivered,Marketplace,XpressBees,13535.27,54141.08,4764.42,49376.66,25246.36,23854.38
500088,2026-05-04,11243,20162,30098,3,0.258,64.82,2026-05-08,2026-05-13,5,Delivered,Marketplace,BlueDart,10972.06,32916.18,8492.37,24423.81,28974.3,-4615.31
500089,2024-08-22,11680,20008,30261,2,0.022,523.05,2024-08-24,2024-08-31,7,Delivered,Website,Ekart,35637.88,71275.76,1568.07,69707.69,47113.64,22071.0
500090,2026-06-28,12767,20069,30295,3,0.159,231.14,2026-06-30,2026-07-01,1,Shipped,Website,Ekart,6560.6,19681.8,3129.41,16552.39,14404.92,1916.33
500091,2025-10-14,10150,20560,30227,4,0.179,440.21,2025-10-18,2025-10-19,1,Delivered,Website,Delhivery,25672.55,102690.2,18381.55,84308.65,62018.28,21850.16
500092,2024-10-28,10031,20960,30253,5,0.114,298.79,2024-10-30,2024-10-31,1,Delivered,Marketplace,BlueDart,25917.42,129587.1,14772.93,114814.17,90282.5,24232.88
500093,2024-12-03,10396,20650,30166,5,0.199,172.78,2024-12-03,2024-12-10,7,Returned,Mobile App,DTDC,36404.21,182021.05,36222.19,145798.86,109221.25,36404.83
500094,2026-06-12,10726,20477,30250,2,0.292,576.49,2026-06-12,2026-06-20,8,Processing,Social Commerce,DTDC,27806.06,55612.12,16238.74,39373.38,37414.48,1382.41
500095,2025-06-25,12503,20314,30170,4,0.099,320.17,2025-06-26,2025-07-02,6,Delivered,Marketplace,DTDC,1259.84,5039.36,498.9,4540.46,4322.76,-102.47
500096,2025-09-23,14047,20850,30108,1,0.172,378.45,2025-09-27,2025-10-05,8,Delivered,Mobile App,XpressBees,12163.98,12163.98,2092.2,10071.78,6860.21,2833.12
500097,2025-07-12,11805,20442,30155,3,0.087,188.45,2025-07-13,2025-07-15,2,Processing,Social Commerce,BlueDart,25775.95,77327.85,6727.52,70600.33,47435.49,22976.39
500098,2024-08-05,11133,20590,30286,2,0.013,391.8,2024-08-05,2024-08-08,3,Delivered,Website,XpressBees,15881.69,31763.38,412.92,31350.46,27031.8,3926.86
500099,2024-04-30,14589,20067,30028,5,0.096,183.81,2024-04-30,2024-05-02,2,Cancelled,Mobile App,Ekart,612.98,3064.9,294.23,2770.67,2315.65,271.21
500100,2024-01-03,10749,20444,30183,4,0.083,473.84,2024-01-05,2024-01-11,6,Delivered,Mobile App,DTDC,38326.71,153306.84,12724.47,140582.37,78174.8,61933.73
500101,2025-01-04,12759,20266,30258,5,0.235,218.64,2025-01-05,2025-01-09,4,Shipped,Website,XpressBees,19844.65,99223.25,23317.46,75905.79,55130.8,20556.35
500102,2025-09-15,10423,20341,30004,4,0.099,202.35,2025-09-16,2025-09-20,4,Delivered,Mobile App,BlueDart,24424.6,97698.4,9672.14,88026.26,85051.4,2772.51
500103,2024-10-02,13160,20996,30148,4,0.289,313.41,2024-10-04,2024-10-11,7,Delivered,Website,Ecom Express,13898.46,55593.84,16066.62,39527.22,38326.32,887.49
500104,2024-07-21,12237,20206,30227,4,0.012,555.12,2024-07-22,2024-07-30,8,Delivered,Marketplace,XpressBees,17889.51,71558.04,858.7,70699.34,53909.04,16235.18
500105,2024-12-20,13523,20584,30120,4,0.142,581.39,2024-12-20,2024-12-26,6,Delivered,Mobile App,Ecom Express,18061.08,72244.32,10258.69,61985.63,46893.08,14511.16
500106,2024-07-30,14506,20506,30130,4,0.201,322.97,2024-08-01,2024-08-10,9,Delivered,Mobile App,XpressBees,4181.04,16724.16,3361.56,13362.6,10856.56,2183.07
500107,2025-01-31,14578,20197,30161,3,0.021,313.96,2025-02-03,2025-02-12,9,Delivered,Mobile App,Ekart,8064.61,24193.83,508.07,23685.76,18668.01,4703.79
500108,2025-05-18,11335,20161,30089,3,0.193,442.0,2025-05-20,2025-05-25,5,Delivered,Website,BlueDart,11195.87,33587.61,6482.41,27105.2,16141.47,10521.73
500109,2024-09-05,10022,20685,30160,3,0.009,290.32,2024-09-09,2024-09-12,3,Shipped,Mobile App,Delhivery,3201.55,9604.65,86.44,9518.21,8382.45,845.44
500110,2024-01-29,12666,20686,30272,2,0.069,134.16,2024-01-29,2024-02-05,7,Delivered,Website,Ecom Express,50984.26,101968.52,7035.83,94932.69,48509.84,46288.69
500111,2024-04-02,11020,20680,30037,2,0.229,102.4,2024-04-02,2024-04-08,6,Returned,Social Commerce,Ekart,15876.0,31752.0,7271.21,24480.79,24748.98,-370.59
500112,2025-01-14,13819,20995,30126,2,0.261,432.74,2025-01-14,2025-01-18,4,Shipped,Social Commerce,DTDC,47744.61,95489.22,24922.69,70566.53,48487.38,21646.41
500113,2024-06-10,14115,20619,30025,2,0.213,107.46,2024-06-10,2024-06-20,10,Delivered,Marketplace,XpressBees,22412.05,44824.1,9547.53,35276.57,32384.24,2784.87
500114,2025-12-30,10501,20676,30277,5,0.051,206.67,2026-01-02,2026-01-08,6,Delivered,Website,XpressBees,39356.4,196782.0,10035.88,186746.12,108680.15,77859.3
500115,2024-05-30,10028,20579,30081,1,0.276,216.17,2024-06-02,2024-06-04,2,Delivered,Marketplace,Delhivery,29810.73,29810.73,8227.76,21582.97,15728.72,5638.08
500116,2024-01-25,13203,20217,30241,2,0.159,130.08,2024-01-28,2024-02-05,8,Delivered,Social Commerce,Ecom Express,12236.8,24473.6,3891.3,20582.3,11678.48,8773.74
500117,2025-07-18,10338,20143,30296,3,0.203,439.19,2025-07-19,2025-07-24,5,Delivered,Social Commerce,Delhivery,41733.78,125201.34,25415.87,99785.47,68624.34,30721.94
500118,2025-07-23,10363,20903,30098,5,0.013,403.04,2025-07-26,2025-07-28,2,Shipped,Marketplace,XpressBees,28820.15,144100.75,1873.31,142227.44,94377.1,47447.3
500119,2025-09-04,14212,20081,30222,2,0.159,121.96,2025-09-04,2025-09-11,7,Shipped,Website,DTDC,21607.87,43215.74,6871.3,36344.44,20656.08,15566.4
500120,2024-05-24,11256,20451,30261,5,0.095,203.8,2024-05-28,2024-05-29,1,Returned,Website,Ecom Express,6989.66,34948.3,3320.09,31628.21,16785.15,14639.26
500121,2025-09-12,13877,20609,30148,1,0.039,224.07,2025-09-13,2025-09-20,7,Delivered,Marketplace,XpressBees,15930.8,15930.8,621.3,15309.5,11819.51,3265.92
500122,2026-02-25,13838,20869,30061,5,0.193,349.61,2026-02-25,2026-03-04,7,Delivered,Mobile App,Ekart,8897.27,44486.35,8585.87,35900.48,38460.9,-2910.03
500123,2025-07-05,12512,20727,30266,5,0.29,487.36,2025-07-05,2025-07-12,7,Delivered,Social Commerce,XpressBees,35439.73,177198.65,51387.61,125811.04,106302.7,19020.98
500124,2024-12-22,10918,20348,30238,4,0.141,27.93,2024-12-24,2025-01-01,8,Delivered,Website,Delhivery,27774.52,111098.08,15664.83,95433.25,92707.88,2697.44
500125,2025-03-15,10163,20370,30068,2,0.237,335.87,2025-03-18,2025-03-19,1,Delivered,Social Commerce,XpressBees,31614.93,63229.86,14985.48,48244.38,49485.86,-1577.35
500126,2026-01-10,15000,20426,30191,1,0.21,303.76,2026-01-12,2026-01-19,7,Shipped,Mobile App,Delhivery,17787.61,17787.61,3735.4,14052.21,14469.88,-721.43
500127,2024-05-10,12676,20229,30124,5,0.072,533.8,2024-05-11,2024-05-18,7,Cancelled,Website,BlueDart,1306.06,6530.3,470.18,6060.12,4498.7,1027.62
500128,2025-10-22,12202,20125,30109,4,0.104,375.81,2025-10-22,2025-10-24,2,Delivered,Website,Ekart,38427.17,153708.68,15985.7,137722.98,94040.48,43306.69
500129,2024-09-02,13396,20721,30183,3,0.048,256.89,2024-09-02,2024-09-12,10,Delivered,Social Commerce,DTDC,44734.37,134203.11,6441.75,127761.36,67347.99,60156.48
500130,2026-03-11,11636,20098,30268,4,0.254,444.84,2026-03-15,2026-03-21,6,Delivered,Website,Ecom Express,23218.18,92872.72,23589.67,69283.05,45881.0,22957.21
500131,2024-05-07,10157,20148,30279,3,0.131,53.12,2024-05-10,2024-05-18,8,Delivered,Mobile App,XpressBees,16540.15,49620.45,6500.28,43120.17,26889.96,16177.09
500132,2025-04-16,12102,20156,30115,5,0.23,342.75,2025-04-16,2025-04-21,5,Delivered,Website,BlueDart,7920.98,39604.9,9109.13,30495.77,21840.4,8312.62
500133,2024-12-31,12052,20561,30026,3,0.183,135.44,2024-12-31,2025-01-07,7,Delivered,Website,BlueDart,9547.05,28641.15,5241.33,23399.82,16564.95,6699.43
500134,2025-03-19,10412,20868,30026,2,0.19,387.34,2025-03-21,2025-03-31,10,Delivered,Mobile App,DTDC,34001.32,68002.64,12920.5,55082.14,37790.9,16903.9
500135,2024-12-14,11917,20637,30067,5,0.291,358.78,2024-12-15,2024-12-16,1,Delivered,Mobile App,Delhivery,5958.95,29794.75,8670.27,21124.48,15871.2,4894.5
500136,2024-02-04,10613,20260,30013,3,0.226,198.4,2024-02-04,2024-02-11,7,Delivered,Website,XpressBees,12759.9,38279.7,8651.21,29628.49,25365.51,4064.58
500137,2026-02-21,13601,20834,30198,4,0.167,291.31,2026-02-23,2026-03-03,8,Delivered,Website,Ecom Express,11335.34,45341.36,7572.01,37769.35,26721.6,10756.44
500138,2025-05-01,11888,20773,30022,2,0.03,34.99,2025-05-03,2025-05-09,6,Shipped,Marketplace,Ecom Express,14031.19,28062.38,841.87,27220.51,20815.66,6369.86
500139,2025-07-01,11011,20868,30158,5,0.128,332.13,2025-07-03,2025-07-12,9,Delivered,Marketplace,BlueDart,34001.32,170006.6,21760.84,148245.76,94477.25,53436.38
500140,2025-04-21,13828,20401,30201,5,0.035,291.47,2025-04-24,2025-04-28,4,Delivered,Website,Ekart,17513.52,87567.6,3064.87,84502.73,70980.1,13231.16
500141,2025-04-27,11502,20587,30031,2,0.062,518.82,2025-04-28,2025-05-07,9,Delivered,Mobile App,BlueDart,16458.77,32917.54,2040.89,30876.65,24598.16,5759.67
500142,2025-07-07,10010,20267,30079,3,0.233,484.55,2025-07-10,2025-07-14,4,Delivered,Website,Ecom Express,32989.35,98968.05,23059.56,75908.49,59925.09,15498.85
500143,2025-01-17,11519,20239,30059,1,0.064,342.42,2025-01-20,2025-01-26,6,Delivered,Website,BlueDart,14640.92,14640.92,937.02,13703.9,10504.68,2856.8
500144,2024-04-29,10767,20556,30256,2,0.165,492.64,2024-05-02,2024-05-04,2,Delivered,Mobile App,Ecom Express,28072.87,56145.74,9264.05,46881.69,31507.44,14881.61
500145,2024-01-27,13484,20866,30234,5,0.004,174.84,2024-01-31,2024-02-01,1,Processing,Marketplace,Delhivery,4739.52,23697.6,94.79,23602.81,17609.6,5818.37
500146,2025-05-07,10602,20977,30002,4,0.12,240.65,2025-05-08,2025-05-16,8,Delivered,Mobile App,Ekart,5807.44,23229.76,2787.57,20442.19,17015.2,3186.34
500147,2024-06-18,10912,20481,30122,3,0.022,378.86,2024-06-21,2024-06-25,4,Delivered,Marketplace,XpressBees,32889.08,98667.24,2170.68,96496.56,51494.7,44623.0
500148,2025-02-18,12285,20582,30141,1,0.152,564.53,2025-02-18,2025-02-24,6,Delivered,Website,Delhivery,29631.34,29631.34,4503.96,25127.38,20315.2,4247.65
500149,2025-07-05,13107,20256,30004,3,0.18,230.77,2025-07-06,2025-07-10,4,Delivered,Marketplace,Delhivery,3480.81,10442.43,1879.64,8562.79,9230.4,-898.38
500150,2025-06-27,12093,20851,30030,4,0.002,239.83,2025-06-30,2025-07-01,1,Delivered,Mobile App,Ecom Express,27748.65,110994.6,221.99,110772.61,90574.68,19958.1
500151,2024-06-02,14382,20466,30167,1,0.066,478.77,2024-06-06,2024-06-13,7,Delivered,Marketplace,XpressBees,7398.18,7398.18,488.28,6909.9,5049.8,1381.33
500152,2025-08-25,13111,20485,30164,5,0.283,120.38,2025-08-25,2025-08-30,5,Delivered,Website,BlueDart,21374.03,106870.15,30244.25,76625.9,74720.3,1785.22
